Date,Passage 1,Passage 2
1-Jun,Matthew 1-2,Romans 1-2
2-Jun,Matthew 3-4,Romans 3-4
3-Jun,Matthew 5-6,Romans 5-6
4-Jun,Matthew 7-8,Romans 7-8
5-Jun,Matthew 9-10,Romans 9-10
8-Jun,Matthew 11-12,Romans 11-12
9-Jun,Matthew 13-14,Romans 13-14
10-Jun,Matthew 15-16,Romans 15-16
11-Jun,Matthew 17-18,1 Corinthians 1-2
12-Jun,Matthew 19-20,1 Corinthians 3-4
15-Jun,Matthew 21-22,1 Corinthians 5-6
16-Jun,Matthew 23-24,1 Corinthians 7-8
17-Jun,Matthew 25-26,1 Corinthians 9-10
18-Jun,Matthew 27-28,1 Corinthians 11-12
19-Jun,John 1-2,1 Corinthians 13-14
22-Jun,John 3-4,1 Corinthians 15-16
23-Jun,John 5-6,2 Corinthians 1-2
24-Jun,John 7-8,2 Corinthians 3-4
25-Jun,John 9-10,2 Corinthians 5-6
26-Jun,John 11-12,2 Corinthians 7-8
29-Jun,John 13-14,2 Corinthians 9-10
30-Jun,John 15-16,2 Corinthians 11-12
1-Jul,John 17-19,2 Corinthians 13
2-Jul,John 20-21,Galatians 1-2
3-Jul,Mark 1-2,Galatians 3-4
6-Jul,Mark 3-4,Galatians 5-6
7-Jul,Mark 5-6,Ephesians 1-2
8-Jul,Mark 7-8,Ephesians 3-4
9-Jul,Mark 9-10,Ephesians 5-6
10-Jul,Mark 11-12,Philippians 1-2
13-Jul,Mark 13-14,Philippians 3-4
14-Jul,Mark 15-16,Colossians 1-2
15-Jul,Luke 1-2,Colossians 3-4
16-Jul,Luke 3-4,1 Thessalonians 1-2
17-Jul,Luke 5,1 Thessalonians 3-5
20-Jul,Luke 6,2 Thessalonians 1-3
21-Jul,Luke 7-8,1 Timothy 1-2
22-Jul,Luke 9-10,1 Timothy 3-4
23-Jul,Luke 11-12,1 Timothy 5-6
24-Jul,Luke 13-14,2 Timothy 1-2
27-Jul,Luke 15-16,2 Timothy 3-4
28-Jul,Luke 17,Titus 1-3
29-Jul,Luke 18-20,Philemon 1
30-Jul,Luke 21-22,James 1-2
31-Jul,Luke 23-24,James 3-4
3-Aug,Acts 1-3,James 5
4-Aug,Acts 4-5,1 Peter 1-2
5-Aug,Acts 6-7,1 Peter 3-4
6-Aug,Acts 8-10,1 Peter 5
7-Aug,Acts 11,2 Peter 1-3
10-Aug,Acts 12-13,1 John 1-2
11-Aug,Acts 14,1 John 3-5
12-Aug,Acts 15-16,"2 John 1, 3 John 1"
13-Aug,Acts 17-19,Jude 1
14-Aug,Acts 20-21,Revelation 1-2
17-Aug,Acts 22-23,Revelation 3-4
18-Aug,Acts 24-25,Revelation 5-6
19-Aug,Acts 26-28,Revelation 7
20-Aug,Hebrews 1,Revelation 8-10
21-Aug,Hebrews 2-3,Revelation 11-12
24-Aug,Hebrews 4-5,Revelation 13-14
25-Aug,Hebrews 6-7,Revelation 15-16
26-Aug,Hebrews 8-9,Revelation 17-18
27-Aug,Hebrews 10-11,Revelation 19-20
28-Aug,Hebrews 12-13,Revelation 21-22
